id,title,budget,revenue,release_date,popularity,vote_average,runtime,top_casts_popularity_avg,casts_popularity_sum,top_cast_popularity,top_crews_popularity_avg,crews_popularity_sum,top_crew_popularity
113167.0,The Noose,,,1928,0.6,,65.0,1.5822857142857145,15.597999999999997,2.26,0.7219999999999999,5.654,0.98
43197.0,The Last Command,,,1955,2.108,6.4,110.0,11.207714285714287,109.12800000000001,21.641,1.352142857142857,15.416999999999998,2.167
104212.0,A Ship Comes In,,,1928,0.79,5.5,70.0,1.5310000000000001,11.317,4.116,1.0165714285714285,7.715999999999999,1.38
82474.0,7th Heaven,119.0,,1927,5.695,7.37,110.0,2.758571428571428,25.023,8.574,1.2840000000000003,20.293,2.268
42538.0,Sadie Thompson,1000000.0,7000000.0,1928,1.643,6.8,97.0,2.4422857142857146,18.896,6.75,1.7890000000000004,13.723000000000003,2.301
79760.0,The Dove,,,1927,0.901,7.0,90.0,1.7194285714285713,14.435999999999998,4.925,1.0527142857142857,9.169,1.4
171341.0,The Devil Dancer,,,1927,0.653,,73.0,2.0178571428571432,20.926,3.309,1.100142857142857,9.501,1.528
328930.0,Sunrise,,,2014,2.329,6.4,85.0,1.4201666666666666,8.520999999999999,4.053,0.8417142857142855,7.691999999999998,1.38
102384.0,Two Arabian Knights,,,1927,2.797,6.1,92.0,2.9392857142857136,24.901000000000003,6.338,1.0045714285714284,10.031999999999998,1.564
22595.0,Speedy,,,1928,5.179,7.443,85.0,1.5854285714285716,26.627000000000006,2.359,0.8955714285714284,6.869,2.359
183587.0,Sorrell and Son,,,1927,0.871,5.0,100.0,1.8741428571428573,18.480999999999998,3.85,1.0758571428571426,9.331,1.571
3061.0,The Crowd,,,1928,5.719,7.635,98.0,1.694142857142857,22.083,2.551,2.3362857142857147,17.554,4.546
28966.0,Wings,2000000.0,3600000.0,1927,11.24,7.215,141.0,4.132571428571429,39.806,11.077,1.8035714285714286,15.625,4.233
25876.0,The Racket,,,1951,3.428,6.207,88.0,6.823857142857143,137.678,14.597,4.449142857142857,52.456,11.175
939.0,The Jazz Singer,422000.0,2600000.0,1927,8.112,6.266,89.0,3.859428571428571,45.723,7.001,1.0165714285714282,7.116,1.96
171354.0,Glorious Betsy,,,1928,0.6,5.7,80.0,1.717,14.168000000000001,2.898,0.9977142857142854,6.983999999999998,1.382
277.0,Underworld,22000000.0,95708457.0,2003,44.005,6.8,122.0,20.109571428571428,197.05399999999997,36.937,3.0905714285714283,135.81799999999998,3.648
218413.0,The Private Life of Helen of Troy,,,1927,0.841,,87.0,1.3254285714285712,10.485999999999999,1.61,1.079,2.158,1.178
27456.0,Thunderbolt,,,1929,2.592,5.5,85.0,2.0515714285714286,22.116,3.501,1.622,11.954,5.122
83989.0,In Old Arizona,,,1928,3.406,5.25,95.0,1.8284285714285715,21.987,3.044,1.0085,6.050999999999999,1.473
6059.0,Alibi,,,1931,0.6,10.0,75.0,1.0978571428571429,10.684999999999999,1.694,1.2859999999999998,9.602,5.162
113207.0,The Valiant,,,1929,0.67,5.8,66.0,1.8744285714285713,26.686,3.917,0.9605714285714283,10.324,1.96
39075.0,Madame X,,,1929,0.771,6.0,95.0,2.2818571428571426,34.808,3.188,1.8931428571428572,13.252000000000002,6.75
85634.0,The Barker,,,1928,0.6,,80.0,1.4858571428571428,11.601,4.28,0.9825714285714284,8.677999999999999,1.4
17801.0,The Letter,,,1940,8.359,7.366,95.0,4.6417142857142855,74.188,11.723,2.0505714285714287,26.635,2.826
85507.0,Coquette,,,1929,3.784,5.524,76.0,2.132,15.524,7.216,1.951857142857143,18.197000000000003,7.216
45881.0,The Bridge of San Luis Rey,,,2004,4.085,5.2,120.0,23.638714285714283,192.15599999999998,50.058,1.6382857142857141,16.473,3.868
173580.0,Dynamite,,,1929,1.779,6.0,129.0,2.348714285714286,24.528000000000002,5.594,2.1870000000000003,18.129,5.355
6059.0,Alibi,,,1931,0.6,10.0,75.0,1.0978571428571429,10.684999999999999,1.694,1.2859999999999998,9.602,5.162
28391.0,Street Angel,,,1928,3.713,7.1,102.0,2.3201428571428573,19.241,7.247,0.9274285714285713,8.892,1.778
42614.0,Our Dancing Daughters,178000.0,1099000.0,1928,1.69,6.688,84.0,2.7809999999999997,23.987,8.08,1.3945714285714286,12.459,1.691
53161.0,White Shadows in the South Seas,,,1928,2.243,6.625,88.0,1.0884999999999998,6.530999999999999,2.204,1.0027142857142854,8.219000000000001,1.599
104214.0,The Divine Lady,,,1929,0.793,5.615,99.0,4.605428571428571,42.82900000000001,9.789,0.8500000000000001,3.4000000000000004,1.22
116269.0,Drag,,,1929,0.6,,85.0,1.2435714285714285,9.305,2.188,0.9945,3.978,1.19
65203.0,The Broadway Melody,379000.0,4358000.0,1929,4.806,5.302,101.0,2.048,34.5,3.674,1.9631428571428573,19.942,2.913
83989.0,In Old Arizona,,,1928,3.406,5.25,95.0,1.8284285714285715,21.987,3.044,1.0085,6.050999999999999,1.473
173570.0,The Cop,,,1928,0.6,,77.0,1.7418571428571425,12.193,3.125,1.7803333333333333,5.341,3.444
53857.0,The Last of Mrs. Cheyney,,,1937,1.024,6.577,98.0,5.994999999999999,64.515,10.448,1.7774285714285714,20.013999999999996,2.913
2024.0,The Patriot,110000000.0,215294342.0,2000,56.538,7.159,165.0,23.916571428571427,340.8230000000001,36.536,7.51,445.37499999999994,11.58
42615.0,A Woman of Affairs,383000.0,,1928,1.886,6.9,91.0,3.990285714285714,35.519000000000005,10.726,1.409142857142857,14.180999999999997,1.638
