,id,title,budget,revenue,release_date,vote_average,runtime,top_casts_popularity_avg,casts_popularity_sum,top_cast_popularity,top_crews_popularity_avg,crews_popularity_sum,top_crew_popularity,percentage_revenue,Won
3309,113284,"The Farm: Angola, USA",,,1998.0,7.1,88.0,0.7657142857142857,5.96,1.38,1.002857142857143,8.82,1.62,340.11,0.0
3310,20595,The Last Days,,,1998.0,7.627,87.0,0.9438571428571426,6.606999999999999,3.007,8.121428571428572,56.85000000000001,37.943,340.11,1.0
3311,103162,Lenny Bruce: Swear to Tell the Truth,,21350.0,1998.0,7.611,100.0,14.40075,57.603,50.058,1.87625,7.505,2.647,340.11,1.0
3312,113279,Regret to Inform,,,1999.0,7.5,72.0,6.715999999999999,68.60050000000001,13.651499999999999,0.608,4.856,0.656,340.11,1.0
3313,244937,The Personals: Improvisations on Romance in the Golden Years,,,1999.0,6.0,40.0,6.715999999999999,68.60050000000001,13.651499999999999,0.6,0.6,0.6,340.11,1.0
3314,244938,A Place in the Land,,,1998.0,6.3,32.0,6.715999999999999,68.60050000000001,13.651499999999999,2.086,2.086,2.086,340.11,1.0
3315,244939,Sunrise Over Tiananmen Square,,,1998.0,6.6,29.0,0.6,0.6,0.6,0.6,10.2,0.6,340.11,0.0
3316,1389,Out of Sight,48000000.0,77745966.0,1998.0,6.673,123.0,28.55214285714285,347.01800000000003,49.68,9.401285714285716,79.279,34.009,161.97,1.0
3317,4518,Elizabeth,30000000.0,82150642.0,1998.0,7.166,124.0,26.193,360.544,55.759,4.9071428571428575,107.61099999999998,7.083,273.84,1.0
3318,9487,A Bug's Life,120000000.0,363258859.0,1998.0,6.966,95.0,16.69157142857143,372.90100000000007,20.277,9.008285714285716,343.256,11.295,302.72,1.0
3319,10674,Mulan,90000000.0,304320254.0,1998.0,7.919,88.0,18.008,316.327,28.173,4.294,65.39899999999999,8.15,338.13,1.0
3320,10312,Patch Adams,50000000.0,202292902.0,1998.0,7.307,115.0,14.82842857142857,196.974,20.216,4.92,80.439,7.309,404.59,1.0
3321,95,Armageddon,140000000.0,553799566.0,1998.0,6.823,151.0,34.818571428571424,622.6400000000001,58.503,11.212000000000002,313.062,20.643,395.57,1.0
3322,18937,Quest for Camelot,40000000.0,38172500.0,1998.0,6.849,86.0,31.022142857142857,304.843,98.196,2.7294285714285715,44.167,6.987,95.43,1.0
3323,547,The Horse Whisperer,60000000.0,186883563.0,1998.0,6.884,170.0,32.69,285.7730000000001,71.925,11.812714285714287,112.843,26.542,311.47,1.0
3324,9447,Babe: Pig in the City,90000000.0,69131860.0,1998.0,5.562,92.0,17.564571428571426,220.253,24.392,5.694142857142858,102.32399999999996,6.775,76.81,1.0
3325,9837,The Prince of Egypt,70000000.0,218613188.0,1998.0,7.237,99.0,36.42071428571428,384.38,44.972,5.715142857142857,71.82099999999997,16.2,312.3,1.0
3326,48610,Bunny,,,1998.0,6.5,7.0,6.715999999999999,68.60050000000001,13.651499999999999,2.164,4.328,2.164,340.11,1.0
3327,136767,Jolly Roger,,645417.0,2001.0,2.9,95.0,5.539714285714285,54.336000000000006,14.311,1.4620000000000002,29.31000000000001,1.62,340.11,1.0
3328,13454,More,,,2006.0,7.625,44.0,0.7142857142857143,9.199999999999998,1.4,0.6,1.2,0.6,340.11,1.0
3329,211811,Culture,,,1999.0,4.7,1.0,2.009,2.009,2.009,2.009,2.009,2.009,340.11,1.0
3330,244930,Holiday Romance,,,1998.0,6.7,19.0,4.2665,8.533,5.983,0.6,0.6,0.6,340.11,1.0
3331,32668,Victor,,,2009.0,5.5,95.0,5.809,67.039,15.467,1.1868571428571426,10.707999999999998,3.578,340.11,1.0
3332,9342,The Mask of Zorro,95000000.0,250288523.0,1998.0,6.545,136.0,18.603428571428573,189.054,35.526,10.369000000000002,91.79499999999996,37.943,263.46,1.0
3333,12159,What Dreams May Come,85000000.0,71485043.0,1998.0,7.168,113.0,13.223857142857144,116.792,18.052,4.499,166.97199999999998,7.183,84.1,1.0
3334,3033,Gods and Monsters,10000000.0,6451628.0,1998.0,7.015,105.0,13.331285714285714,159.22000000000003,30.979,4.4835714285714285,62.656000000000006,8.681,64.52,1.0
3335,9452,Bulworth,30000000.0,29202884.0,1998.0,6.312,108.0,20.55457142857143,457.729,32.656,8.974428571428572,95.459,14.987,97.34,1.0
3336,9008,The Insider,90000000.0,60289912.0,1999.0,7.5,158.0,29.338,423.256,46.352,7.012142857142858,111.93699999999995,10.428,66.99,1.0
3337,404,The Straight Story,10000000.0,6203044.0,1999.0,7.731,112.0,8.039285714285713,71.63299999999998,19.156,7.739857142857143,70.47200000000001,19.61,62.03,1.0
3338,14,American Beauty,15000000.0,356296601.0,1999.0,8.029,122.0,20.267571428571426,226.972,24.307,11.141000000000002,202.013,48.476,2375.31,1.0
3339,1715,The Cider House Rules,24000000.0,88545092.0,1999.0,7.008,126.0,33.60771428571429,304.58200000000005,54.824,3.340428571428572,45.69199999999999,7.081,368.94,1.0
3340,334,Magnolia,37000000.0,48451803.0,1999.0,7.729,189.0,24.533,526.24,41.501,5.975714285714285,105.298,9.258,130.95,1.0
