Index,id,original_title,popularity,budget,revenue,release_date,popularity,vote_average,runtime,top_casts_popularity_avg,casts_popularity_sum,top_cast_popularity,top_crews_popularity_avg,crews_popularity_sum,top_crew_popularity
48,87,Indiana Jones and the Temple of Doom,43.899,28000000,333000000,1984,40.559,7.295,118,22.074,301.686,37.206,13.15028571,147.49,33.237
49,88,Dirty Dancing,25.479,6000000,214577242,1987,34.305,7.348,100,13.75785714,171.482,17.581,4.231142857,96.701,6.386
50,89,Indiana Jones and the Last Crusade,39.403,48000000,474171806,1989,44.238,7.838,127,19.47885714,265.543,37.206,12.98057143,185.085,33.237
51,90,Beverly Hills Cop,21.017,14000000,316360478,1984,24.5,7.187,105,17.95114286,286.256,28.645,4.589714286,93.842,6.847
52,93,Anatomy of a Murder,13.234,2000000,8000000,1959,13.309,7.847,161,9.218,96.206,17.148,3.118142857,47.913,5.33
53,95,Armageddon,52.65,140000000,553799566,1998,55.413,6.821,151,36.739,649.673,54.128,9.791571429,303.313,17.079
54,96,Beverly Hills Cop II,18.533,28000000,299965036,1987,23.392,6.471,103,15.606,309.054,28.645,9.491428571,150.653,28.645
55,97,Tron,25.603,17000000,33000000,1982,19.84,6.684,96,10.65128571,83.861,28.369,1.350428571,19.89,1.96
56,98,Gladiator,62.692,103000000,465361176,2000,78.367,8.2,155,24.87814286,343.025,45.866,8.568857143,293.994,12.807
57,99,Todo sobre mi madre,12.719,8272296,67872296,1999,16.488,7.668,101,7.248714286,79.823,22.322,2.701428571,35.785,4.897
58,100,"Lock, Stock and Two Smoking Barrels",10.512,1350000,28356188,1998,12.793,8.137,105,27.737,293.047,123.947,13.88385714,105.468,25.192
59,101,Léon: The Professional,43.766,16000000,45284974,1994,44.945,8.32,111,28.86357143,309.911,62.785,7.705285714,100.971,15.914
60,102,Elsker dig for evigt,8.017,,,2002,7.314,6.847,113,11.08042857,92.13,37.161,1.675714286,16.624,5.381
61,103,Taxi Driver,42.066,1300000,28570902,1976,49.889,8.169,114,25.64842857,279.791,57.826,5.795571429,125.459,15.775
62,104,Lola rennt,20.251,1530000,7267585,1998,17.39,7.317,81,5.357285714,59.232,12.117,2.949714286,44.684,3.831
63,105,Back to the Future,59.216,19000000,381109762,1985,54.288,8.31,116,18.05314286,289.909,26.61,18.01957143,261.306,33.237
64,106,Predator,63.263,15000000,98267558,1987,70.187,7.489,107,15.25985714,154.515,29.184,5.794,201.952,7.417
65,107,Snatch,31.503,10000000,83557872,2000,32.946,7.8,103,39.09514286,417.351,123.947,11.26685714,155.472,25.192
66,108,Trois couleurs : Bleu,14.788,,,1993,20.79,7.688,98,8.819428571,79.173,18.532,5.057428571,45.459,5.488
67,109,Trois couleurs : Blanc,12.763,,,1994,14.144,7.48,92,7.840285714,81.66,18.532,3.158142857,30.46,5.488
68,110,Trois couleurs : Rouge,16.131,,,1994,15.796,7.955,100,8.251571429,70.504,18.532,3.792714286,32.462,5.488
69,111,Scarface,81.879,25000000,66023329,1983,78.652,8.2,170,19.84985714,349.944,33.897,6.313714286,81.595,9.903
70,113,봄 여름 가을 겨울 그리고 봄,15.524,,8945072,2003,17.082,7.84,103,6.239714286,47.006,12.999,2.964571429,27.328,5.196
71,114,Pretty Woman,49.945,14000000,463406268,1990,48.84,7.423,119,18.23142857,312.245,36.572,5.326,117.337,8.977
72,115,The Big Lebowski,26.761,15000000,46969409,1998,29.229,7.843,117,29.09814286,406.338,32.961,5.793285714,176.926,7.756
73,116,Match Point,15.327,15000000,85306374,2005,18.15,7.353,124,27.47285714,347.78,55.876,6.245714286,116.822,14.465
74,117,The Untouchables,23.754,25000000,76270454,1987,50.272,7.767,119,31.98128571,334.389,74.08,4.894857143,99.144,8.775
75,118,Charlie and the Chocolate Factory,105.829,150000000,474968763,2005,110.432,7.038,115,29.28214286,382.69,44.258,7.106285714,210.891,16.77
76,120,The Lord of the Rings: The Fellowship of the Ring,90.148,93000000,871368364,2001,96.543,8.395,179,32.61485714,602.103,40.149,10.96157143,221.298,15.919
77,121,The Lord of the Rings: The Two Towers,84.806,79000000,926287400,2002,84.945,8.377,179,32.61485714,666.314,40.149,10.96157143,215.778,15.919
78,122,The Lord of the Rings: The Return of the King,79.627,94000000,1118888979,2003,84.533,8.475,201,32.61485714,718.115,40.149,10.96157143,210.044,15.919
79,123,The Lord of the Rings,23.154,4000000,30471420,1978,24.191,6.58,132,9.284714286,113.884,17.188,1.902142857,22.203,5.073
80,128,もののけ姫,42.375,26500000,159414369,1997,41.706,8.34,134,6.028857143,69.728,9.262,7.049,122.314,11.146
81,129,千と千尋の神隠し,94.781,19000000,274925095,2001,100.881,8.541,125,6.125,105.509,7.993,7.572571429,151.242,11.146
82,134,"O Brother, Where Art Thou?",17.53,26000000,71870729,2000,26.212,7.325,107,22.41885714,231.428,28.287,5.208714286,103.002,5.36
83,136,Freaks,14.298,310607,,1932,17.382,7.821,62,3.008428571,55.936,3.822,2.671857143,21.61,4.602
84,137,Groundhog Day,25.032,14600000,71074049,1993,27.1,7.603,101,16.132,187.191,22.573,5.679714286,74.361,9.332
85,138,Dracula,16.487,355000,700000,1931,19.278,7.201,74,2.916714286,42.391,5.997,2.342,49.278,3.495
86,140,La mala educación,11.537,5000000,40266982,2004,12.091,7.392,106,7.853571429,81.144,18.83,3.610571429,52.919,4.897
87,141,Donnie Darko,37.046,6000000,7500000,2001,28.69,7.784,114,28.423,347.764,38.904,8.354571429,160.321,36.076
88,142,Brokeback Mountain,27.927,14000000,178043761,2005,31.08,7.803,134,29.89685714,322.918,43.901,5.309857143,129.161,11.312
89,143,All Quiet on the Western Front,24.88,1448864,3270000,1930,24.479,7.796,133,2.635714286,58.816,3.2,1.461857143,16.504,3.186
90,144,Der Himmel über Berlin,16.63,2500000,3210139,1987,15.652,7.802,128,7.499428571,121.674,14.151,6.528428571,112.566,8.318
91,145,Breaking the Waves,14.347,,3803298,1996,17.528,7.483,159,11.916,98.726,26.534,4.469285714,46.986,10.257
92,146,卧虎藏龍,20.454,17000000,213525736,2000,28.836,7.402,120,20.61957143,152.962,86.057,6.700857143,119.472,11.312
93,147,Les Quatre Cents Coups,15.802,,,1959,17.328,8.078,99,5.490285714,55.543,10.545,5.05,61.757,10.545
94,149,AKIRA,35.593,10000000,553171,1988,42.331,7.947,124,4.929285714,48.239,5.889,4.058285714,120.722,4.542
95,150,48 Hrs.,17.936,12000000,78868508,1982,22.324,6.677,96,19.49714286,301.261,28.645,6.92,112.66,8.254
96,152,Star Trek: The Motion Picture,20.227,35000000,139000000,1979,21.749,6.488,132,11.49442857,158.677,15.06,3.312714286,34.625,5.421
97,153,Lost in Translation,20.959,4000000,119723856,2003,21.233,7.394,102,17.85185714,162.987,55.876,16.46114286,180.721,43.52
98,154,Star Trek II: The Wrath of Khan,13.933,12000000,96800000,1982,16.43,7.464,113,13.08071429,145.943,20.365,3.338571429,31.396,8.254
99,155,The Dark Knight,80.71,185000000,1004558444,2008,86.927,8.509,152,43.53257143,719.329,64.203,16.53314286,284.46,21.055
100,157,Star Trek III: The Search for Spock,10.992,18000000,87000000,1984,14.393,6.619,105,15.83228571,220.32,26.61,4.650285714,37.543,13.256
101,158,Knockin' on Heaven's Door,9.123,,,1997,10.942,7.647,87,8.260714286,107.596,13.231,5.26,40.778,13.231
102,161,Ocean's Eleven,38.371,85000000,450717150,2001,37.512,7.421,116,32.72328571,535.695,59.415,7.526714286,215.399,14.244
103,162,Edward Scissorhands,49.473,20000000,53000000,1990,39.258,7.714,105,24.97714286,275.341,41.794,10.20514286,166.22,16.77
104,163,Ocean's Twelve,23.938,110000000,362744280,2004,28.888,6.559,125,34.37457143,549.466,59.415,7.165714286,204.974,9.555
105,164,Breakfast at Tiffany's,41.696,2500000,9500000,1961,27.041,7.691,114,12.33514286,209.058,17.326,2.487571429,36.773,4.703
106,165,Back to the Future Part II,37.947,40000000,332000000,1989,39.334,7.751,108,23.58285714,314.656,29.126,13.58785714,248.778,33.237
107,166,La Boum,15.275,,,1980,13.47,6.595,110,7.781285714,108.703,21.143,1.697428571,20.154,2.588
108,167,K-PAX,12.58,48000000,50315140,2001,14.346,7.187,120,19.53557143,209.363,36.29,5.926857143,143.294,7.847
109,168,Star Trek IV: The Voyage Home,17.023,24000000,133000000,1986,24.131,7.183,119,11.49442857,161.646,15.06,4.990571429,53.972,13.256
110,169,Predator 2,50.722,35000000,57120318,1990,43.609,6.237,108,16.32814286,269.7,24.35,4.843428571,128.469,5.867
111,170,28 Days Later,32.534,5000000,85720385,2002,36.177,7.2,113,18.40214286,169.827,54.192,4.536428571,84.923,6.487
112,171,La Boum 2,9.861,,,1982,7.969,6.449,109,10.59842857,106.343,21.143,1.321285714,12.483,1.687
113,172,Star Trek V: The Final Frontier,18.201,30000000,70200000,1989,19.644,5.74,107,12.23157143,136.716,15.248,5.019285714,42.103,15.06
114,173,"20,000 Leagues Under the Sea",13.219,5000000,28200000,1954,20.835,7.075,127,8.491428571,90.555,16.528,4.039285714,44.983,11.677
115,174,Star Trek VI: The Undiscovered Country,11.741,27000000,96900000,1991,11.72,7.019,113,17.46428571,272.121,29.719,5.853285714,133.293,13.256
116,175,Le Grand Bleu,16.314,14390509,,1988,21.329,7.471,168,15.28985714,146.648,37.702,9.986142857,80.167,15.914
117,176,Saw,53.286,1200000,103911669,2004,48.305,7.396,103,20.18614286,203.302,34.784,8.828571429,132.174,17.446
118,177,The Fisher King,12.189,24000000,41895491,1991,10.899,7.276,138,15.06571429,174.382,28.369,5.017571429,40.269,11.24
119,178,Blown Away,11.322,28000000,30156002,1994,15.561,6.139,121,22.35557143,206.25,43.138,5.255714286,72.257,6.595
120,179,The Interpreter,13.303,80000000,162944923,2005,16.051,6.3,128,18.12985714,248.55,28.986,7.254571429,194.517,10.209
121,180,Minority Report,24.031,102000000,358372926,2002,28.795,7.333,145,30.78785714,520,38.346,10.83071429,575.131,33.237
